case_id,sample_type,delay_days,weather_scenario,target_decision,target_initial_mt,observed_magnetism_mt,retention_ratio,dynamic_threshold_mt,m0_hat_mt,m0_hat_lower_mt,m0_hat_upper_mt,relative_width,support_probability,actual_decision,target_hit
REP-014-1,普通钢筋,7,humid_hot,支持曾遭雷击,3.75,2.642073,0.704553,1.056829,3.75,3.707568,3.789154,0.021756,0.999849,支持曾遭雷击,yes
REP-014-2,普通钢筋,7,humid_hot,灰区/证据不足,1.53,1.077966,0.704553,1.056829,1.53,1.512688,1.545975,0.021756,0.519813,灰区/证据不足,yes
REP-014-3,普通钢筋,7,humid_hot,不支持曾遭雷击,0.075,0.052841,0.704553,1.056829,0.075,0.074151,0.075783,0.021756,0.008775,不支持曾遭雷击,yes
REP-015-1,普通钢筋,30,normal,支持曾遭雷击,3.75,0.899926,0.23998,0.35997,3.75,3.678721,3.818789,0.037351,0.999847,支持曾遭雷击,yes
REP-015-2,普通钢筋,30,normal,灰区/证据不足,1.53,0.36717,0.23998,0.35997,1.53,1.500918,1.558066,0.037351,0.519809,灰区/证据不足,yes
REP-015-3,普通钢筋,30,normal,不支持曾遭雷击,0.075,0.017999,0.23998,0.35997,0.075,0.073574,0.076376,0.037351,0.008775,不支持曾遭雷击,yes
REP-016-1,普通钢筋,30,humid_hot,支持曾遭雷击,3.75,1.27888,0.341035,0.511552,3.75,3.596867,3.894714,0.079426,0.999834,支持曾遭雷击,yes
REP-016-2,普通钢筋,30,humid_hot,灰区/证据不足,1.53,0.521783,0.341035,0.511552,1.53,1.467522,1.589043,0.079426,0.519789,灰区/证据不足,yes
REP-016-3,普通钢筋,30,humid_hot,不支持曾遭雷击,0.075,0.025578,0.341035,0.511552,0.075,0.071937,0.077894,0.079426,0.008776,不支持曾遭雷击,yes
REP-017-1,普通钢筋,60,normal,灰区/证据不足,1.53,0.063785,0.041689,0.062534,1.53,1.493677,1.563929,0.045916,0.519807,灰区/证据不足,yes
REP-018-1,普通钢筋,60,humid_hot,灰区/证据不足,1.53,0.068529,0.04479,0.067185,1.53,1.468189,1.587038,0.077679,0.519791,灰区/证据不足,yes
REP-019-1,锈蚀钢筋,7,normal,支持曾遭雷击,3.75,2.24473,0.598595,0.897892,3.75,3.732912,3.763827,0.008244,0.99985,支持曾遭雷击,yes
REP-019-2,锈蚀钢筋,7,normal,灰区/证据不足,1.53,0.91585,0.598595,0.897892,1.53,1.523028,1.535641,0.008244,0.519815,灰区/证据不足,yes
REP-019-3,锈蚀钢筋,7,normal,不支持曾遭雷击,0.075,0.044895,0.598595,0.897892,0.075,0.074658,0.075277,0.008244,0.008775,不支持曾遭雷击,yes
REP-020-1,锈蚀钢筋,7,humid_hot,支持曾遭雷击,3.75,2.186265,0.583004,0.874506,3.75,3.712066,3.786692,0.0199,0.999849,支持曾遭雷击,yes
REP-020-2,锈蚀钢筋,7,humid_hot,灰区/证据不足,1.53,0.891996,0.583004,0.874506,1.53,1.514523,1.54497,0.0199,0.519813,灰区/证据不足,yes
REP-020-3,锈蚀钢筋,7,humid_hot,不支持曾遭雷击,0.075,0.043725,0.583004,0.874506,0.075,0.074241,0.075734,0.0199,0.008775,不支持曾遭雷击,yes
REP-021-1,锈蚀钢筋,30,normal,支持曾遭雷击,3.75,0.373888,0.099703,0.149555,3.75,3.667258,3.82556,0.042214,0.999846,支持曾遭雷击,yes
REP-021-2,锈蚀钢筋,30,normal,灰区/证据不足,1.53,0.152546,0.099703,0.149555,1.53,1.496241,1.560828,0.042214,0.519807,灰区/证据不足,yes
REP-021-3,锈蚀钢筋,30,normal,不支持曾遭雷击,0.075,0.007478,0.099703,0.149555,0.075,0.073345,0.076511,0.042214,0.008775,不支持曾遭雷击,yes
REP-022-1,锈蚀钢筋,30,humid_hot,支持曾遭雷击,3.75,0.53133,0.141688,0.212532,3.75,3.582713,3.902179,0.085191,0.999832,支持曾遭雷击,yes
REP-022-2,锈蚀钢筋,30,humid_hot,灰区/证据不足,1.53,0.216783,0.141688,0.212532,1.53,1.461747,1.592089,0.085191,0.519785,灰区/证据不足,yes
REP-022-3,锈蚀钢筋,30,humid_hot,不支持曾遭雷击,0.075,0.010627,0.141688,0.212532,0.075,0.071654,0.078044,0.085191,0.008776,不支持曾遭雷击,yes
REP-023-1,锈蚀钢筋,60,normal,灰区/证据不足,1.53,0.010788,0.007051,0.010577,1.53,1.486579,1.570496,0.054847,0.5198,灰区/证据不足,yes
REP-024-1,锈蚀钢筋,60,humid_hot,灰区/证据不足,1.53,0.011591,0.007576,0.011364,1.53,1.459569,1.598221,0.090622,0.519779,灰区/证据不足,yes
